Batch,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,AssignmentStatus,WorkerId,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
1a,36D1BWBEIUIJG8WUAGZG6G4D0U3M21,3HR9SK23IZKJOXEODGEIV5W7W6LR31,Italian sentences 1b,A survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Tue Mar 21 00:30:15 PDT 2023,5,BatchId:5037965;OriginalHitTemplateId:920937340;,1800,172800,Tue Mar 28 00:30:15 PDT 2023,,,39U1BHVTDT8F15GRDFJYZO0MB72T3Z,Approved,A1BI34TAR8H9R0,Tue Mar 21 04:46:03 PDT 2023,Tue Mar 21 05:06:16 PDT 2023,Thu Mar 23 05:06:16 PDT 2023,,,,1213,0% (0/0),0% (0/0),0% (0/0),673645,,
1a,36D1BWBEIUIJG8WUAGZG6G4D0U3M21,3HR9SK23IZKJOXEODGEIV5W7W6LR31,Italian sentences 1b,A survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Tue Mar 21 00:30:15 PDT 2023,5,BatchId:5037965;OriginalHitTemplateId:920937340;,1800,172800,Tue Mar 28 00:30:15 PDT 2023,,,3J88R45B2OFTPBUYGNH21UOTTYSPXY,Approved,A25SH3L1UR6Y1Z,Tue Mar 21 00:31:15 PDT 2023,Tue Mar 21 00:55:53 PDT 2023,Thu Mar 23 00:55:53 PDT 2023,,,,1478,0% (0/0),0% (0/0),0% (0/0),673645,,
1a,36D1BWBEIUIJG8WUAGZG6G4D0U3M21,3HR9SK23IZKJOXEODGEIV5W7W6LR31,Italian sentences 1b,A survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Tue Mar 21 00:30:15 PDT 2023,5,BatchId:5037965;OriginalHitTemplateId:920937340;,1800,172800,Tue Mar 28 00:30:15 PDT 2023,,,3LEIZ60CDRGX2JE60G9QCP4PWUAZ9C,Approved,A1NSI1TRI41OFV,Tue Mar 21 00:55:05 PDT 2023,Tue Mar 21 01:15:43 PDT 2023,Thu Mar 23 01:15:43 PDT 2023,,,,1238,0% (0/0),0% (0/0),0% (0/0),673645,,
1a,36D1BWBEIUIJG8WUAGZG6G4D0U3M21,3HR9SK23IZKJOXEODGEIV5W7W6LR31,Italian sentences 1b,A survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Tue Mar 21 00:30:15 PDT 2023,5,BatchId:5037965;OriginalHitTemplateId:920937340;,1800,172800,Tue Mar 28 00:30:15 PDT 2023,,,3YJ6NA41JJXSURP9ZJ21ALGEI1VJPO,Approved,AA7ES0EMRWOG0,Tue Mar 21 03:25:51 PDT 2023,Tue Mar 21 03:43:00 PDT 2023,Thu Mar 23 03:43:00 PDT 2023,,,,1029,0% (0/0),0% (0/0),0% (0/0),673645,,
1a,36D1BWBEIUIJG8WUAGZG6G4D0U3M21,3HR9SK23IZKJOXEODGEIV5W7W6LR31,Italian sentences 1b,A survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Tue Mar 21 00:30:15 PDT 2023,5,BatchId:5037965;OriginalHitTemplateId:920937340;,1800,172800,Tue Mar 28 00:30:15 PDT 2023,,,3YZ8UPK3V13IEIRZ6DK9XNQI0XWUCX,Approved,A1DKWZQE9XEMKC,Tue Mar 21 00:30:31 PDT 2023,Tue Mar 21 00:47:32 PDT 2023,Thu Mar 23 00:47:32 PDT 2023,,,,1021,0% (0/0),0% (0/0),0% (0/0),673645,,
1b,3XABXM4AK8MLN2WBIQFYXG1LWWQ8QD,3CUQ44BBWYRI9FM6J3NGXIYMACR6QT,Italian sentences 1b 2,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Wed Mar 22 00:54:20 PDT 2023,5,BatchId:5038811;OriginalHitTemplateId:920937340;,1800,86400,Wed Mar 29 00:54:20 PDT 2023,,,33SA9F9TR5BA3K0IX4555ZBJ7WQEWW,Approved,A28LMBOMBHXM7K,Wed Mar 22 00:55:59 PDT 2023,Wed Mar 22 01:17:38 PDT 2023,Thu Mar 23 01:17:38 PDT 2023,Thu Mar 23 01:17:40 PDT 2023,,,1299,100% (1/1),100% (1/1),100% (1/1),936472,,
1b,3XABXM4AK8MLN2WBIQFYXG1LWWQ8QD,3CUQ44BBWYRI9FM6J3NGXIYMACR6QT,Italian sentences 1b 2,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Wed Mar 22 00:54:20 PDT 2023,5,BatchId:5038811;OriginalHitTemplateId:920937340;,1800,86400,Wed Mar 29 00:54:20 PDT 2023,,,3NVC2EB65YGBIRFLNL6X75S2RF1Y3P,Approved,A129DU6FOHUVNO,Wed Mar 22 01:18:40 PDT 2023,Wed Mar 22 01:39:44 PDT 2023,Thu Mar 23 01:39:44 PDT 2023,Thu Mar 23 01:40:40 PDT 2023,,,1264,100% (2/2),100% (2/2),100% (1/1),936472,,
1b,3XABXM4AK8MLN2WBIQFYXG1LWWQ8QD,3CUQ44BBWYRI9FM6J3NGXIYMACR6QT,Italian sentences 1b 2,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Wed Mar 22 00:54:20 PDT 2023,5,BatchId:5038811;OriginalHitTemplateId:920937340;,1800,86400,Wed Mar 29 00:54:20 PDT 2023,,,3QFUFYSY96WQ0WHUI9JSSPDSZ464FI,Approved,ABVP1XX3ZOMKL,Wed Mar 22 00:55:18 PDT 2023,Wed Mar 22 01:14:31 PDT 2023,Thu Mar 23 01:14:31 PDT 2023,Thu Mar 23 01:14:40 PDT 2023,,,1153,100% (2/2),100% (2/2),100% (1/1),936472,,
1b,3XABXM4AK8MLN2WBIQFYXG1LWWQ8QD,3CUQ44BBWYRI9FM6J3NGXIYMACR6QT,Italian sentences 1b 2,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Wed Mar 22 00:54:20 PDT 2023,5,BatchId:5038811;OriginalHitTemplateId:920937340;,1800,86400,Wed Mar 29 00:54:20 PDT 2023,,,3QXNC7EIPQC00Y8GWMWY6Q14FUV096,Approved,A11MV3BOMD8WNK,Wed Mar 22 00:59:38 PDT 2023,Wed Mar 22 01:21:43 PDT 2023,Thu Mar 23 01:21:43 PDT 2023,Thu Mar 23 01:22:40 PDT 2023,,,1325,100% (1/1),100% (1/1),100% (1/1),936472,,
1b,3XABXM4AK8MLN2WBIQFYXG1LWWQ8QD,3CUQ44BBWYRI9FM6J3NGXIYMACR6QT,Italian sentences 1b 2,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Wed Mar 22 00:54:20 PDT 2023,5,BatchId:5038811;OriginalHitTemplateId:920937340;,1800,86400,Wed Mar 29 00:54:20 PDT 2023,,,3RU7GD8VPWALTU8ZMDBF2M72FQ0SPK,Approved,A3SD4Z832DJI3E,Wed Mar 22 02:00:55 PDT 2023,Wed Mar 22 02:19:02 PDT 2023,Thu Mar 23 02:19:02 PDT 2023,Thu Mar 23 02:19:40 PDT 2023,,,1087,100% (1/1),100% (1/1),100% (1/1),936472,,
2a,3SNR5F7RA9APF5IJILWPGO6LGR9EIL,3PICF97GBY5GD3ZW20DJ3R880RPP7K,Italian sentences 2a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Thu Mar 23 01:04:46 PDT 2023,5,BatchId:5039645;OriginalHitTemplateId:920937340;,1800,86400,Thu Mar 30 01:04:46 PDT 2023,,,3K5TEWLKG3S9402Z3DQ04CQXSOXIVH,Approved,A2BCW92PAXTVJJ,Thu Mar 23 01:08:05 PDT 2023,Thu Mar 23 01:34:14 PDT 2023,Fri Mar 24 01:34:14 PDT 2023,,,,1569,0% (0/0),0% (0/0),0% (0/0),472829,,
2a,3SNR5F7RA9APF5IJILWPGO6LGR9EIL,3PICF97GBY5GD3ZW20DJ3R880RPP7K,Italian sentences 2a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Thu Mar 23 01:04:46 PDT 2023,5,BatchId:5039645;OriginalHitTemplateId:920937340;,1800,86400,Thu Mar 30 01:04:46 PDT 2023,,,3NAPMVF0Z4W3IPN1WC2SBI3DHAT723,Approved,A25EV7W6NCIWWJ,Thu Mar 23 01:07:52 PDT 2023,Thu Mar 23 01:29:04 PDT 2023,Fri Mar 24 01:29:04 PDT 2023,,,,1272,0% (0/0),0% (0/0),0% (0/0),472829,,
2a,3SNR5F7RA9APF5IJILWPGO6LGR9EIL,3PICF97GBY5GD3ZW20DJ3R880RPP7K,Italian sentences 2a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Thu Mar 23 01:04:46 PDT 2023,5,BatchId:5039645;OriginalHitTemplateId:920937340;,1800,86400,Thu Mar 30 01:04:46 PDT 2023,,,3PPTZCWALY13UIVSHIKCYKUF79LZQ2,Approved,A2Z76LSWWKFZJJ,Thu Mar 23 01:24:12 PDT 2023,Thu Mar 23 01:47:48 PDT 2023,Fri Mar 24 01:47:48 PDT 2023,,,,1416,0% (0/0),0% (0/0),0% (0/0),472829,,
2a,3SNR5F7RA9APF5IJILWPGO6LGR9EIL,3PICF97GBY5GD3ZW20DJ3R880RPP7K,Italian sentences 2a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Thu Mar 23 01:04:46 PDT 2023,5,BatchId:5039645;OriginalHitTemplateId:920937340;,1800,86400,Thu Mar 30 01:04:46 PDT 2023,,,3SB4CE2TJ3CM27OWR4Z5BZZZVS3AXD,Approved,A129DU6FOHUVNO,Thu Mar 23 01:41:30 PDT 2023,Thu Mar 23 02:03:56 PDT 2023,Fri Mar 24 02:03:56 PDT 2023,,,,1346,100% (2/2),100% (2/2),100% (1/1),472829,,
2a,3SNR5F7RA9APF5IJILWPGO6LGR9EIL,3PICF97GBY5GD3ZW20DJ3R880RPP7K,Italian sentences 2a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Thu Mar 23 01:04:46 PDT 2023,5,BatchId:5039645;OriginalHitTemplateId:920937340;,1800,86400,Thu Mar 30 01:04:46 PDT 2023,,,3STRJBFXO48LX3OYYLBXGAHPN77KTF,Approved,A2MZA3NO4ECYAX,Thu Mar 23 01:22:56 PDT 2023,Thu Mar 23 01:44:26 PDT 2023,Fri Mar 24 01:44:26 PDT 2023,,,,1290,0% (0/0),0% (0/0),0% (0/0),472829,,
2b,3DQYSJDTZSSM507EH7WQJYT045CEXM,3H5KS3F36XUT6RX3CI1L72UJEP5ZYG,Italian sentences 2b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Fri Mar 24 01:26:16 PDT 2023,5,BatchId:5040581;OriginalHitTemplateId:920937340;,1800,86400,Fri Mar 31 01:26:16 PDT 2023,,,3D4CH1LGEIAXB2J1AOL1RIOKMTV9GT,Approved,AAZGK35IQ4VFM,Fri Mar 24 01:49:42 PDT 2023,Fri Mar 24 02:06:37 PDT 2023,Sat Mar 25 02:06:37 PDT 2023,,,,1015,100% (1/1),100% (1/1),0% (0/0),665323,,
2b,3DQYSJDTZSSM507EH7WQJYT045CEXM,3H5KS3F36XUT6RX3CI1L72UJEP5ZYG,Italian sentences 2b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Fri Mar 24 01:26:16 PDT 2023,5,BatchId:5040581;OriginalHitTemplateId:920937340;,1800,86400,Fri Mar 31 01:26:16 PDT 2023,,,3HL8HNGX4DIRX2N6Z4FJ9XO8LESF9X,Approved,A36YNCAC1EN8AN,Fri Mar 24 01:28:11 PDT 2023,Fri Mar 24 01:48:42 PDT 2023,Sat Mar 25 01:48:42 PDT 2023,,,,1231,0% (0/0),0% (0/0),0% (0/0),665323,,
2b,3DQYSJDTZSSM507EH7WQJYT045CEXM,3H5KS3F36XUT6RX3CI1L72UJEP5ZYG,Italian sentences 2b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Fri Mar 24 01:26:16 PDT 2023,5,BatchId:5040581;OriginalHitTemplateId:920937340;,1800,86400,Fri Mar 31 01:26:16 PDT 2023,,,3I7DHKZYGVH8WFLUWE22XHJ6ZI9F56,Approved,A2UD78PHN68Y7W,Fri Mar 24 01:27:55 PDT 2023,Fri Mar 24 01:45:07 PDT 2023,Sat Mar 25 01:45:07 PDT 2023,,,,1032,0% (0/0),0% (0/0),0% (0/0),665323,,
2b,3DQYSJDTZSSM507EH7WQJYT045CEXM,3H5KS3F36XUT6RX3CI1L72UJEP5ZYG,Italian sentences 2b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Fri Mar 24 01:26:16 PDT 2023,5,BatchId:5040581;OriginalHitTemplateId:920937340;,1800,86400,Fri Mar 31 01:26:16 PDT 2023,,,3N1FSUEFLDHT2C3YR3O24PA7N9Z4DG,Approved,A1Z2QXR9Z5JVUD,Fri Mar 24 01:36:28 PDT 2023,Fri Mar 24 01:54:40 PDT 2023,Sat Mar 25 01:54:40 PDT 2023,,,,1092,0% (0/0),0% (0/0),0% (0/0),665323,,
2b,3DQYSJDTZSSM507EH7WQJYT045CEXM,3H5KS3F36XUT6RX3CI1L72UJEP5ZYG,Italian sentences 2b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Fri Mar 24 01:26:16 PDT 2023,5,BatchId:5040581;OriginalHitTemplateId:920937340;,1800,86400,Fri Mar 31 01:26:16 PDT 2023,,,3WMINLGALJKYZ9D1083IXMEPUJICAY,Approved,A1DKWZQE9XEMKC,Fri Mar 24 01:27:34 PDT 2023,Fri Mar 24 01:45:34 PDT 2023,Sat Mar 25 01:45:34 PDT 2023,,,,1080,100% (1/1),100% (1/1),100% (1/1),665323,,
3a,34F34TZU83GTF0Q97JMOQOCWW6HJ2F,3XAT7XIOX7JAXQ1GORJK9LCZ48YW89,Italian sentences 3a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 06:36:35 PDT 2023,5,BatchId:5042503;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 06:36:35 PDT 2023,,,39LOEL67O0MW3LO3AH838S40Z0383R,Approved,A385G821ND1TX2,Mon Mar 27 06:44:12 PDT 2023,Mon Mar 27 07:01:18 PDT 2023,Tue Mar 28 07:01:18 PDT 2023,,,,1026,0% (0/0),0% (0/0),0% (0/0),189364,,
3a,34F34TZU83GTF0Q97JMOQOCWW6HJ2F,3XAT7XIOX7JAXQ1GORJK9LCZ48YW89,Italian sentences 3a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 06:36:35 PDT 2023,5,BatchId:5042503;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 06:36:35 PDT 2023,,,3AMW0RGHOLJODHGUEHUT3SXWTQSPN4,Approved,A2RKUDGK5PQ44X,Mon Mar 27 06:37:50 PDT 2023,Mon Mar 27 06:58:20 PDT 2023,Tue Mar 28 06:58:20 PDT 2023,,,,1230,0% (0/0),0% (0/0),0% (0/0),189364,,
3a,34F34TZU83GTF0Q97JMOQOCWW6HJ2F,3XAT7XIOX7JAXQ1GORJK9LCZ48YW89,Italian sentences 3a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 06:36:35 PDT 2023,5,BatchId:5042503;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 06:36:35 PDT 2023,,,3NXNZ5RS1IEEI980HLH7L5BRO8J79W,Approved,A2U1F8KQ6ZTAYI,Mon Mar 27 07:22:13 PDT 2023,Mon Mar 27 07:50:50 PDT 2023,Tue Mar 28 07:50:50 PDT 2023,,,,1717,0% (0/0),0% (0/0),0% (0/0),189364,,
3a,34F34TZU83GTF0Q97JMOQOCWW6HJ2F,3XAT7XIOX7JAXQ1GORJK9LCZ48YW89,Italian sentences 3a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 06:36:35 PDT 2023,5,BatchId:5042503;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 06:36:35 PDT 2023,,,3SPJ033429KM35HAQ6YKNC9ROC1JY1,Approved,A382Z0B2X0C4Z,Mon Mar 27 07:19:08 PDT 2023,Mon Mar 27 07:32:40 PDT 2023,Tue Mar 28 07:32:40 PDT 2023,,,,812,0% (0/0),0% (0/0),0% (0/0),189364,,
3a,34F34TZU83GTF0Q97JMOQOCWW6HJ2F,3XAT7XIOX7JAXQ1GORJK9LCZ48YW89,Italian sentences 3a,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 06:36:35 PDT 2023,5,BatchId:5042503;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 06:36:35 PDT 2023,,,3TXMY6UCAM5QMPKIP404NMTUZJ3QCJ,Approved,A13Q5DNNL0XKZG,Mon Mar 27 06:50:43 PDT 2023,Mon Mar 27 07:09:04 PDT 2023,Tue Mar 28 07:09:04 PDT 2023,,,,1101,0% (0/0),0% (0/0),0% (0/0),189364,,
3b,3Q7TKIAPP0RMD0CP7TII2MGSXMELDV,3XIJBB7LZC65DT5UCIKEHWUDG7I8QI,Italian sentences 3b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 09:07:51 PDT 2023,5,BatchId:5042643;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 09:07:51 PDT 2023,,,339ANSOTRDJVOP8N49CT23FGDJ2KIW,Approved,AAFO1YP45EXAE,Mon Mar 27 09:13:33 PDT 2023,Mon Mar 27 09:28:57 PDT 2023,Tue Mar 28 09:28:57 PDT 2023,,,,924,0% (0/0),0% (0/0),0% (0/0),592835,,
3b,3Q7TKIAPP0RMD0CP7TII2MGSXMELDV,3XIJBB7LZC65DT5UCIKEHWUDG7I8QI,Italian sentences 3b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 09:07:51 PDT 2023,5,BatchId:5042643;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 09:07:51 PDT 2023,,,30OG32W0S2SKGQR453EI9GYSFL3ENP,Approved,A2NFSLZ743580G,Mon Mar 27 09:30:07 PDT 2023,Mon Mar 27 09:50:09 PDT 2023,Tue Mar 28 09:50:09 PDT 2023,,,,1202,0% (0/0),0% (0/0),0% (0/0),592835,,
3b,3Q7TKIAPP0RMD0CP7TII2MGSXMELDV,3XIJBB7LZC65DT5UCIKEHWUDG7I8QI,Italian sentences 3b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 09:07:51 PDT 2023,5,BatchId:5042643;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 09:07:51 PDT 2023,,,3NAPMVF0Z4W3IPN1WC2SBI3DI39271,Approved,A2V9G1RAJ1CVOU,Mon Mar 27 09:34:08 PDT 2023,Mon Mar 27 09:54:39 PDT 2023,Tue Mar 28 09:54:39 PDT 2023,,,,1231,0% (0/0),0% (0/0),0% (0/0),592835,,
3b,3Q7TKIAPP0RMD0CP7TII2MGSXMELDV,3XIJBB7LZC65DT5UCIKEHWUDG7I8QI,Italian sentences 3b,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 27 09:07:51 PDT 2023,5,BatchId:5042643;OriginalHitTemplateId:920937340;,1800,86400,Mon Apr 03 09:07:51 PDT 2023,,,3Z2R0DQ0JPVOR42BJKGYHSVU4QHE23,Approved,A3Q45FR4WZRQFG,Mon Mar 27 09:51:10 PDT 2023,Mon Mar 27 10:15:23 PDT 2023,Tue Mar 28 10:15:23 PDT 2023,,,,1453,0% (0/0),0% (0/0),0% (0/0),592835,,
